BlockType,ParameterPath,Type,Optional,SuggestedTab,SuggestedControl
ArtistPhotoBlock,style.backgroundRepeat,string,true,styles,text
ArtistPhotoBlock,style.backgroundSize,string,true,styles,text (CSS)
ArtistPhotoBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ArtistPhotoBlock,style.blendMode,string,true,styles,text
ArtistPhotoBlock,style.borderRadius,string,true,styles,text (CSS)
ArtistPhotoBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ArtistPhotoBlock,style.gap,string,true,styles,text
ArtistPhotoBlock,style.gradientDirection,string,true,styles,text
ArtistPhotoBlock,style.gradientFrom,string,true,styles,text
ArtistPhotoBlock,style.gradientTo,string,true,styles,text
ArtistPhotoBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistPhotoBlock,style.hoverScale,number,true,styles,slider+number
ArtistPhotoBlock,style.hoverShadow,string,true,styles,text
ArtistPhotoBlock,style.hoverTransitionMs,number,true,styles,number
ArtistPhotoBlock,style.imageScale,number,true,styles,slider+number
ArtistPhotoBlock,style.marginBottom,string,true,styles,text
ArtistPhotoBlock,style.marginLeft,string,true,styles,text
ArtistPhotoBlock,style.marginRight,string,true,styles,text
ArtistPhotoBlock,style.marginTop,string,true,styles,text
ArtistPhotoBlock,style.overlayColor,string,true,styles,color
ArtistPhotoBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ArtistPhotoBlock,style.padding,string,true,styles,text
ArtistPhotoBlock,style.parallax,boolean,true,styles,toggle
ArtistPhotoBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ArtistPhotoBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ArtworkListBlock,cardBackgroundColor,string,true,styles,color
ArtworkListBlock,cardBackgroundImageUrl,string,true,styles,media
ArtworkListBlock,cardBorderRadius,string,true,styles,text (CSS)
ArtworkListBlock,cardBoxShadow,string,true,styles,text
ArtworkListBlock,cardPadding,string,true,settings,text
ArtworkListBlock,cardPreset,enum<default|minimal|bordered|elevated>,true,settings,segmented
ArtworkListBlock,cardTextColor,string,true,styles,color
ArtworkListBlock,columnsDesktop,number,true,settings,slider+number
ArtworkListBlock,columnsMobile,number,true,settings,slider+number
ArtworkListBlock,gap,number,true,settings,slider+number
ArtworkListBlock,layout,enum<grid|carousel>,true,settings,segmented
ArtworkListBlock,limit,number,true,settings,number
ArtworkListBlock,mode,enum<manual|query>,true,settings,segmented
ArtworkListBlock,pageSize,number,true,settings,number
ArtworkListBlock,paginationType,enum<none|paginate|loadMore>,true,settings,segmented
ArtworkListBlock,query.categoryIds,unknown,true,content,text
ArtworkListBlock,query.priceMax,number,true,content,number
ArtworkListBlock,query.priceMin,number,true,content,number
ArtworkListBlock,query.search,string,true,content,text
ArtworkListBlock,query.yearMax,number,true,content,number
ArtworkListBlock,query.yearMin,number,true,content,number
ArtworkListBlock,selection,unknown,true,settings,text
ArtworkListBlock,showArtist,boolean,true,settings,toggle
ArtworkListBlock,showAvailability,boolean,true,settings,toggle
ArtworkListBlock,showDescription,boolean,true,settings,toggle
ArtworkListBlock,showDimensions,boolean,true,settings,toggle
ArtworkListBlock,showOnDesktop,boolean,true,settings,toggle
ArtworkListBlock,showOnLg,boolean,true,settings,toggle
ArtworkListBlock,showOnMd,boolean,true,settings,toggle
ArtworkListBlock,showOnMobile,boolean,true,settings,toggle
ArtworkListBlock,showOnSm,boolean,true,settings,toggle
ArtworkListBlock,showOnXl,boolean,true,settings,toggle
ArtworkListBlock,showPrice,boolean,true,settings,toggle
ArtworkListBlock,showTitle,boolean,true,settings,toggle
ArtworkListBlock,showYear,boolean,true,settings,toggle
ArtworkListBlock,sortBy,enum<manual|title|price|year|createdAt>,true,settings,segmented
ArtworkListBlock,sortOrder,enum<asc|desc>,true,settings,segmented
ArtworkListBlock,style.backgroundColor,string,true,styles,color
ArtworkListBlock,style.backgroundImageUrl,string,true,styles,media
ArtworkListBlock,style.backgroundPosition,string,true,styles,text (CSS)
ArtworkListBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ArtworkListBlock,style.backgroundRepeat,string,true,styles,text
ArtworkListBlock,style.backgroundSize,string,true,styles,text (CSS)
ArtworkListBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ArtworkListBlock,style.blendMode,string,true,styles,text
ArtworkListBlock,style.borderRadius,string,true,styles,text (CSS)
ArtworkListBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ArtworkListBlock,style.gap,string,true,styles,text
ArtworkListBlock,style.gradientDirection,string,true,styles,text
ArtworkListBlock,style.gradientFrom,string,true,styles,text
ArtworkListBlock,style.gradientTo,string,true,styles,text
ArtworkListBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ArtworkListBlock,style.hoverScale,number,true,styles,slider+number
ArtworkListBlock,style.hoverShadow,string,true,styles,text
ArtworkListBlock,style.hoverTransitionMs,number,true,styles,number
ArtworkListBlock,style.imageScale,number,true,styles,slider+number
ArtworkListBlock,style.marginBottom,string,true,styles,text
ArtworkListBlock,style.marginLeft,string,true,styles,text
ArtworkListBlock,style.marginRight,string,true,styles,text
ArtworkListBlock,style.marginTop,string,true,styles,text
ArtworkListBlock,style.overlayColor,string,true,styles,color
ArtworkListBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ArtworkListBlock,style.padding,string,true,styles,text
ArtworkListBlock,style.parallax,boolean,true,styles,toggle
ArtworkListBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ArtworkListBlock,style.widthResp.mobile,string,true,styles,text (CSS)
BaseBlock,showOnDesktop,boolean,true,settings,toggle
BaseBlock,showOnLg,boolean,true,settings,toggle
BaseBlock,showOnMd,boolean,true,settings,toggle
BaseBlock,showOnMobile,boolean,true,settings,toggle
BaseBlock,showOnSm,boolean,true,settings,toggle
BaseBlock,showOnXl,boolean,true,settings,toggle
BaseBlock,style.backgroundColor,string,true,styles,color
BaseBlock,style.backgroundImageUrl,string,true,styles,media
BaseBlock,style.backgroundPosition,string,true,styles,text (CSS)
BaseBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
BaseBlock,style.backgroundRepeat,string,true,styles,text
BaseBlock,style.backgroundSize,string,true,styles,text (CSS)
BaseBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
BaseBlock,style.blendMode,string,true,styles,text
BaseBlock,style.borderRadius,string,true,styles,text (CSS)
BaseBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
BaseBlock,style.gap,string,true,styles,text
BaseBlock,style.gradientDirection,string,true,styles,text
BaseBlock,style.gradientFrom,string,true,styles,text
BaseBlock,style.gradientTo,string,true,styles,text
BaseBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
BaseBlock,style.hoverScale,number,true,styles,slider+number
BaseBlock,style.hoverShadow,string,true,styles,text
BaseBlock,style.hoverTransitionMs,number,true,styles,number
BaseBlock,style.imageScale,number,true,styles,slider+number
BaseBlock,style.marginBottom,string,true,styles,text
BaseBlock,style.marginLeft,string,true,styles,text
BaseBlock,style.marginRight,string,true,styles,text
BaseBlock,style.marginTop,string,true,styles,text
BaseBlock,style.overlayColor,string,true,styles,color
BaseBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
BaseBlock,style.padding,string,true,styles,text
BaseBlock,style.parallax,boolean,true,styles,toggle
BaseBlock,style.widthResp.desktop,string,true,styles,text (CSS)
BaseBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ButtonBlock,alignment,enum<left|center|right>,true,settings,segmented
ButtonBlock,label,string,false,content,text
ButtonBlock,showOnDesktop,boolean,true,settings,toggle
ButtonBlock,showOnLg,boolean,true,settings,toggle
ButtonBlock,showOnMd,boolean,true,settings,toggle
ButtonBlock,showOnMobile,boolean,true,settings,toggle
ButtonBlock,showOnSm,boolean,true,settings,toggle
ButtonBlock,showOnXl,boolean,true,settings,toggle
ButtonBlock,style.backgroundColor,string,true,styles,color
ButtonBlock,style.backgroundImageUrl,string,true,styles,media
ButtonBlock,style.backgroundPosition,string,true,styles,text (CSS)
ButtonBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ButtonBlock,style.backgroundRepeat,string,true,styles,text
ButtonBlock,style.backgroundSize,string,true,styles,text (CSS)
ButtonBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ButtonBlock,style.blendMode,string,true,styles,text
ButtonBlock,style.borderRadius,string,true,styles,text (CSS)
ButtonBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ButtonBlock,style.gap,string,true,styles,text
ButtonBlock,style.gradientDirection,string,true,styles,text
ButtonBlock,style.gradientFrom,string,true,styles,text
ButtonBlock,style.gradientTo,string,true,styles,text
ButtonBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ButtonBlock,style.hoverScale,number,true,styles,slider+number
ButtonBlock,style.hoverShadow,string,true,styles,text
ButtonBlock,style.hoverTransitionMs,number,true,styles,number
ButtonBlock,style.imageScale,number,true,styles,slider+number
ButtonBlock,style.marginBottom,string,true,styles,text
ButtonBlock,style.marginLeft,string,true,styles,text
ButtonBlock,style.marginRight,string,true,styles,text
ButtonBlock,style.marginTop,string,true,styles,text
ButtonBlock,style.overlayColor,string,true,styles,color
ButtonBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ButtonBlock,style.padding,string,true,styles,text
ButtonBlock,style.parallax,boolean,true,styles,toggle
ButtonBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ButtonBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ButtonBlock,url,string,false,settings,text
ColumnBlock,columns,array,false,settings,list
ColumnBlock,count,number,false,settings,number
ColumnBlock,showOnDesktop,boolean,true,settings,toggle
ColumnBlock,showOnLg,boolean,true,settings,toggle
ColumnBlock,showOnMd,boolean,true,settings,toggle
ColumnBlock,showOnMobile,boolean,true,settings,toggle
ColumnBlock,showOnSm,boolean,true,settings,toggle
ColumnBlock,showOnXl,boolean,true,settings,toggle
ColumnBlock,style.backgroundColor,string,true,styles,color
ColumnBlock,style.backgroundImageUrl,string,true,styles,media
ColumnBlock,style.backgroundPosition,string,true,styles,text (CSS)
ColumnBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ColumnBlock,style.backgroundRepeat,string,true,styles,text
ColumnBlock,style.backgroundSize,string,true,styles,text (CSS)
ColumnBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ColumnBlock,style.blendMode,string,true,styles,text
ColumnBlock,style.borderRadius,string,true,styles,text (CSS)
ColumnBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ColumnBlock,style.gap,string,true,styles,text
ColumnBlock,style.gradientDirection,string,true,styles,text
ColumnBlock,style.gradientFrom,string,true,styles,text
ColumnBlock,style.gradientTo,string,true,styles,text
ColumnBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
ColumnBlock,style.hoverScale,number,true,styles,slider+number
ColumnBlock,style.hoverShadow,string,true,styles,text
ColumnBlock,style.hoverTransitionMs,number,true,styles,number
ColumnBlock,style.imageScale,number,true,styles,slider+number
ColumnBlock,style.marginBottom,string,true,styles,text
ColumnBlock,style.marginLeft,string,true,styles,text
